title,viewCount,publishedAt,duration
【朝活】へなちょこEnglishですまない海外ニキさん…これでも一生懸命なんだ【瀬島るい / あにまーれ】,2930,2021-01-21T23:49:11Z,PT1H40M6S
【企画】ゲーム方式で闇じゃがアリゴ！？ミリしらだから怖くない【瀬島るい / あにまーれ】,1712,2021-01-21T14:00:07Z,PT47M26S
【雑談】深水（深夜水曜日）へようこそ。【瀬島るい / あにまーれ】,3126,2021-01-20T17:15:56Z,PT2H4M31S
【#ひかるい】まさかのドッキリ？！利き＆聞きじゃが！【瀬島るい / あにまーれ】,4199,2021-01-20T12:02:55Z,PT56M12S
【歌枠】気分を上げたいときに聞きたくなる選曲！！【瀬島るい / あにまーれ】,5767,2021-01-17T04:19:57Z,PT2H58M42S
【雑談】初めての…XXX【瀬島るい / あにまーれ】,5086,2021-01-15T18:43:10Z,PT3H19M29S
【#あにびっと】おかしい！！赤ちゃんになっちゃったの…？！【瀬島るい / あにまーれ】,2295,2021-01-15T09:02:43Z,PT28M42S
【あにびっと参戦！】もしも記憶を残したまま赤ちゃんになったら…子供に戻って好き放題【後編】【アニメ】【マンガ動画】【瀬島るい / あにまーれ】,7518,2021-01-15T08:05:11Z,PT5M23S
【APEX】毛も生えていないガチ初心者が迷惑しても勝てるのか？#らんぴかるい【瀬島るい / あにまーれ】,4746,2021-01-14T15:50:27Z,PT3H42M20S
【朝活】開幕歯磨き。占いにくくたそ現るファインプレーとフラグ回収編www【瀬島るい / あにまーれ】,5049,2021-01-13T00:55:19Z,PT2H44M24S
【企画】プロで賞はたった５人しか選べまてん【瀬島るい / あにまーれ】,5777,2021-01-12T12:53:54Z,PT1H43M53S
【祝】メンバーシップ解禁の瞬間！！デビューして３か月記念日！【瀬島るい / あにまーれ】,4565,2021-01-10T12:06:04Z,PT59M50S
【歌枠】痺れたいと思った【瀬島るい / あにまーれ】,3774,2021-01-09T12:33:12Z,PT1H24M11S
【#そやしま】相手の事どれだけ知ってる？禁断のプロフィール帳公開！！【瀬島るい / あにまーれ】,7081,2021-01-07T12:37:56Z,PT1H28M3S
【朝活】祈りを捧げろ！！！！！【瀬島るい / あにまーれ】,4752,2021-01-06T00:44:34Z,PT2H34M6S
【作業】作業してる所ってぼーっと見てたいよね【瀬島るい / あにまーれ】,3719,2021-01-05T04:14:37Z,PT1H8M17S
【企画】ついでに体重計に乗ってみたｗｗ【瀬島るい / あにまーれ】,2992,2021-01-04T12:04:03Z,PT56M49S
【企画雑談】奇妙な年賀状とオフコラボでの波乱暴露ｗｗ【瀬島るい / あにまーれ】,4572,2021-01-03T12:54:01Z,PT1H36M10S
【#いぬ科とお正月】迎春！正月そうそう騒がしい桃太郎電鉄！【瀬島るい / あにまーれ】,8138,2021-01-02T06:37:09Z,PT1H30M3S
【朝活】２０２０年最後の配信！占い結果は！？【瀬島るい / あにまーれ】,6440,2020-12-30T02:23:51Z,PT4H3M40S
【企画】バカでも解ける？！リスナーさんからの難問（？）漢字テスト！【瀬島るい / あにまーれ】,4381,2020-12-29T12:16:43Z,PT1H10M56S
【朗読】今年最後の睡眠誘導は置いといてクスっと笑っていきませんか？【瀬島るい / あにまーれ】,4432,2020-12-28T16:40:36Z,PT1H26M51S
【雑談】怖すぎて悲鳴！！来年の正月って今までと違う？？【瀬島るい / あにまーれ】,5144,2020-12-27T08:11:11Z,PT1H57M26S
【収益化】スパチャに驚愕…！！感謝を込めて歌ってみた-歌枠-【瀬島るい / あにまーれ】,5820,2020-12-26T11:05:33Z,PT59M53S
【Ｘｍａｓ】酔っぱらったらキャベツ飛んでった【瀬島るい / あにまーれ】,5115,2020-12-25T13:19:03Z,PT1H52M57S
【朝活】BAKAって書いて天才って読むんよ【瀬島るい / あにまーれ】,5889,2020-12-23T00:10:59Z,PT2H9S
【企画】リアルタイム合否！宗谷いちかを地下に呼びたいんだ…！！！【瀬島るい / あにまーれ】,7646,2020-12-22T12:08:20Z,PT1H30S
【雑談】どうしてこうなった……恐怖のX'mas飾り🎄！【瀬島るい / あにまーれ】,3466,2020-12-21T12:09:47Z,PT1H4M2S
【ななしふぇす振り返り】嬉しかったことベスト5！感謝の気持ちを込めて！【瀬島るい / あにまーれ】,5155,2020-12-20T11:10:48Z,PT1H2M40S
【朝活】ふぇす当日をより楽しめるために☺【瀬島るい / あにまーれ】,4306,2020-12-17T23:35:25Z,PT1H19M19S
【相談】使いやすいのはどんなもの！？【瀬島るい / あにまーれ】,2227,2020-12-16T15:12:33Z,PT1H55M57S
【朗読】初めてのゲリラ朗読会【瀬島るい / あにまーれ】,2102,2020-12-15T14:27:54Z,PT1H6M22S
【雑談】遂に！！！完成した！！！【瀬島るい / あにまーれ】,4589,2020-12-14T11:41:33Z,PT1H9M33S
【歌枠】ふぇす前に気合入れて頑張るーい！【瀬島るい / あにまーれ】,5516,2020-12-13T12:46:40Z,PT1H24M40S
【映画】興奮状態！！！カイジ‐人生逆転ゲーム‐【瀬島るい / あにまーれ】,2301,2020-12-12T13:44:38Z,PT2H31M23S
【歌ってみた】ライカ/yamada【covered‐瀬島るい / あにまーれ】,11197,2020-12-12T10:00:17Z,PT3M51S
【朝活】世界で違う￥１００の価値💲💲【瀬島るい / あにまーれ】,4878,2020-12-10T23:44:19Z,PT1H36M22S
【Minecraft】不仲説！？いやいや、仲良しですよ☺【瀬島るい / 飛良ひかり/あにまーれ】,8889,2020-12-09T15:16:30Z,PT4H43M27S
【Minecraft】先輩をゾンビと勘違いして逃げ回り、ふぐを食べて毒され、3番目の女に会う。【瀬島るい / あにまーれ】,6350,2020-12-08T15:44:37Z,PT1H31M23S
【企画】見ちゃダメ！！ｗ第三者から見た脳内が酷すぎる件ｗｗｗｗ【瀬島るい / あにまーれ】,4284,2020-12-06T12:17:58Z,PT1H3M51S
【Minecraft】何をしてもヒーローがなんとかしてくれるマイクラ【瀬島るい /飛良ひかり/ あにまーれ】,5524,2020-12-05T10:45:37Z,PT1H34M35S
【雑談】家出した犬の末路。地下にイオンできるってマ？？？【瀬島るい / あにまーれ】,5451,2020-12-04T12:13:57Z,PT1H20S
【朝活】誰か助けてください。【瀬島るい / あにまーれ】,10283,2020-12-04T01:26:29Z,PT3H12M10S
【歌枠】この曲も９０年代だったの！？懐かしヒットソングも♪【瀬島るい / あにまーれ】,5665,2020-11-29T03:43:35Z,PT1H29M39S
【5分/切り抜き】リスナーにまんまと騙されて笑いが止まらないｗｗｗｗフル字幕付き【瀬島るい / あにまーれ】,3035,2020-11-26T09:00:14Z,PT4M56S
【朝活】占い中にマイク故障？！どうする？！【瀬島るい / あにまーれ】,3157,2020-11-24T23:05:10Z,PT59M36S
【企画】クラスに絶対１人はいる奴ｗｗｗあるあるだらけｗｗｗ【瀬島るい / あにまーれ】,3812,2020-11-24T13:38:35Z,PT1H29M8S
【企画】正直、羨ましい過ごし方ってあるだろ？【瀬島るい / あにまーれ】,3169,2020-11-23T13:08:16Z,PT1H43S
【歌枠】透き通った世界へ。【瀬島るい / あにまーれ】,6548,2020-11-22T18:28:43Z,PT3H5M13S
【裏】ほんまにいじわるーいされとる【瀬島るい / あにまーれ】,9520,2020-11-21T07:51:26Z,PT3H27M57S
【朝活】いじわるーい？！せし魔界。【瀬島るい / あにまーれ】,3552,2020-11-19T23:08:06Z,PT1H1M23S
【雑談】いやこれ食事会やんけ【瀬島るい / あにまーれ】,3674,2020-11-19T18:39:57Z,PT3H22M46S
【雑談】実は焼肉には厳しいです【瀬島るい / あにまーれ】,5831,2020-11-16T12:13:01Z,PT1H6M34S
【#ななし歌謡祭でどぅーいっと】新人が歌う名曲！！！ブチ上がってこうぜ！！【瀬島るい / あにまーれ】,13472,2020-11-15T09:35:03Z,PT30M23S
【企画】ムダ知識！ギネス記録更新しちまったww～イヌビアの泉～【瀬島るい / あにまーれ】,4684,2020-11-14T12:07:44Z,PT58M7S
【朝活】安心しろ。瀬島家は代々ぐっさりぶｒ【瀬島るい / あにまーれ】,5910,2020-11-13T00:02:51Z,PT1H51M3S
【企画】有名人現るwww似顔絵性格暴露ゲーム！！【瀬島るい / あにまーれ】,4025,2020-11-12T11:39:49Z,PT1H4M18S
【朝活】ゾロ目ってみてるだけでラッキーじゃね？？？【瀬島るい / あにまーれ】,5274,2020-11-10T23:20:07Z,PT1H12M36S
【雑談】この1か月で色んな事起きすぎてません！？ｗｗｗ【瀬島るい / あにまーれ】,4703,2020-11-10T12:13:07Z,PT1H5M11S
【歌枠】恋愛ソングで昇天！？次々にガチ恋が増えてしまうｗｗｗｗ胸キュン♡生歌LIVE【瀬島るい / あにまーれ】,5441,2020-11-08T12:09:01Z,PT1H1M32S
【illust】こんな細かい所まで？！完成品は配布してるよ！！【瀬島るい / あにまーれ】,13463,2020-11-07T02:16:02Z,PT10H20M29S
【企画】恥ずかしい事件が起きました……【瀬島るい / あにまーれ】,4831,2020-11-05T11:09:35Z,PT1H4M14S
【朝活】総理大臣がきたwwwww【瀬島るい / あにまーれ】,3868,2020-11-03T23:12:34Z,PT1H5M49S
【Layers of Fear】怖がりでも見れちゃうホラゲ実況2【瀬島るい / あにまーれ】,3376,2020-11-03T14:55:42Z,PT2H39M38S
【Fall Guys】ファイナル進出！！！！意外な結果に騒然？！？！【瀬島るい / あにまーれ】,4556,2020-11-02T11:45:47Z,PT2H28M55S
【雑談】遂に人生最大のモテ期がきたっぽいｗｗｗｗｗ【瀬島るい / あにまーれ】,10545,2020-11-01T07:25:12Z,PT3H4M36S
【歌枠】初めての生歌LIVE！！リクエストも歌っちゃうよ🎃【瀬島るい / あにまーれ】,9141,2020-10-31T13:27:35Z,PT2H9M52S
【朝活】企画の裏話から始まる朝はどうだいｗｗｗｗ【瀬島るい / あにまーれ】,4982,2020-10-29T23:49:32Z,PT1H41M59S
【企画】箱推し勢の1日ルーティンがマジでやばいｗｗｗｗ【瀬島るい / あにまーれ】,5984,2020-10-29T11:15:53Z,PT1H4M47S
【cooking】ちょっとwwリアルすぎwwwww【瀬島るい / あにまーれ】,6461,2020-10-27T15:30:56Z,PT3H3M43S
【Layers of Fear】怖くないホラゲ実況が存在します【瀬島るい / あにまーれ】,4523,2020-10-26T16:58:57Z,PT1H47M15S
【雑談】１万人突破っするまで勝負だ！！あれ…ガチ恋距離に？！【瀬島るい / あにまーれ】,4975,2020-10-25T12:40:47Z,PT1H5M19S
【Fall Guys】強運の持ち主は私じゃああああ！【瀬島るい / あにまーれ】,6314,2020-10-24T07:23:53Z,PT3H58M3S
【企画】あるあるネタから驚きの内容も！？ｗｗｗ【瀬島るい / あにまーれ】,6015,2020-10-22T11:08:10Z,PT1H2M7S
【朝活】運勢占ったらトラブル発生www【瀬島るい / あにまーれ】,4709,2020-10-20T23:07:17Z,PT57M53S
【企画】意外と知らない！？身体の秘密！！【瀬島るい / あにまーれ】,2478,2020-10-20T13:05:52Z,PT54M38S
【Fall Guys】上手すぎるwwミリしらでまさかのファイナルwww【瀬島るい / あにまーれ】,5410,2020-10-18T17:03:18Z,PT1H44M8S
【雑談】くしゃみ付きで考察しようじゃないか【瀬島るい / あにまーれ】,7111,2020-10-17T05:22:30Z,PT1H52M11S
【illust】寝れるメイキング鼻歌付き【瀬島るい / あにまーれ】,9045,2020-10-15T18:05:30Z,PT2H50M31S
【朝活】朝から笑うと幸福度UPするらしい！！！！【瀬島るい / あにまーれ】,6511,2020-10-13T23:24:12Z,PT1H17M35S
【雑談】深夜テンションでぶっちゃけてこうぜっ！！！【瀬島るい / あにまーれ】,6627,2020-10-13T17:08:32Z,PT1H2M46S
【雑談】10人目の新人という噂が出てるんですけど！！！【瀬島るい / あにまーれ】,12121,2020-10-12T15:15:19Z,PT1H7M55S
